cur_prc,trde_qty,trde_prica,dt,open_pric,high_pric,low_pric,pred_pre,pred_pre_sig,trde_tern_rt
80200,22061478,1749786,20240816,79400,80200,78700,+3000,2,+0.37
77200,13246168,1023946,20240814,77400,77800,77000,+1100,2,+0.22
76100,10716261,814879,20240813,76500,76600,75500,+600,2,+0.18
75500,9839259,742668,20240812,75200,75900,74800,+800,2,+0.16
74700,16388222,1226725,20240809,75700,75800,74200,+1300,2,+0.27
73400,28414729,2079007,20240808,73200,73900,72500,-1300,5,+0.48
74700,32710428,2439050,20240807,73000,76000,72800,+2200,2,+0.55
72500,47295226,3482608,20240806,74900,75300,72300,+1100,2,+0.79
71400,54608790,4028468,20240805,76700,76900,70200,-8200,5,+0.91
79600,25800275,2072583,20240802,81000,81400,79500,-3500,5,+0.43
83100,20900338,1761066,20240801,86000,86100,83100,-800,5,+0.35
83900,20744323,1709906,20240731,81200,83900,80900,+2900,2,+0.35
81000,13169636,1058510,20240730,80400,81000,80000,-200,5,+0.22
81200,12797136,1042595,20240729,81600,82000,81100,+300,2,+0.21
80900,14508334,1171302,20240726,80700,81300,80400,+500,2,+0.24
80400,20323811,1634938,20240725,80400,81000,80100,-1600,5,+0.34
82000,16939083,1397137,20240724,82900,83300,81900,-1900,5,+0.28
83900,15766389,1325674,20240723,84200,84700,83400,+900,2,+0.26
83000,18987560,1581559,20240722,84400,84900,82600,-1400,5,+0.32
84400,18569122,1574018,20240719,85600,86100,84100,-2500,5,+0.31
86900,24721790,2104105,20240718,83800,86900,83800,+200,2,+0.41
86700,18186490,1585140,20240717,87100,88000,86400,-1000,5,+0.30
87700,16166688,1413744,20240716,86900,88000,86700,+1000,2,+0.27
86700,25193080,2151182,20240715,84700,87300,84100,+2300,2,+0.42
84400,26344386,2234915,20240712,85900,86100,84100,-3200,5,+0.44
87600,24677608,2164539,20240711,88500,88800,86700,-200,5,+0.41
87800,17813847,1560912,20240710,87600,88000,87100,0,3,+0.30
87800,21336201,1869415,20240709,87800,88200,86900,+400,2,+0.36
87400,24035809,2105162,20240708,87900,88600,86900,+300,2,+0.40
87100,45791193,3951280,20240705,85600,87100,85200,+2500,2,+0.77
84600,43857229,3679078,20240704,82900,84700,82400,+2800,2,+0.73
81800,11440328,933802,20240703,82300,82300,81000,0,3,+0.19
81800,14471904,1186008,20240702,82500,82600,81500,0,3,+0.24
81800,11317202,925401,20240701,81500,82100,81300,+300,2,+0.19
81500,9455929,768936,20240628,81900,81900,80800,-100,5,+0.16
81600,11739720,953181,20240627,81300,81600,80500,+300,2,+0.20
81300,17783242,1436019,20240626,80100,81400,79900,+500,2,+0.30
80800,19088458,1545796,20240625,80600,81800,80100,+200,2,+0.32
